Dataset,Model,Step,MAE,RMSE,MAPE
PEMS07,GCLSTM,3,22.4565,34.4713,0.0965
PEMS07,GCLSTM,6,25.8387,39.2932,0.1106
PEMS07,GCLSTM,12,32.9288,48.6305,0.1449
PEMS07,GCLSTM,0,26.2697,40.0895,0.1135

PEMS07,GCGRU,3,22.4109,34.4121,0.0961
PEMS07,GCGRU,6,25.7583,39.2494,0.1101
PEMS07,GCGRU,12,32.6537,48.4973,0.1426
PEMS07,GCGRU,0,26.1514,40.0192,0.1126

PEMS07,STGCN,3,21.3485,33.2601,0.0974
PEMS07,STGCN,6,23.0462,36.1066,0.1045
PEMS07,STGCN,12,25.9345,40.5721,0.1143
PEMS07,STGCN,0,23.0625,36.1922,0.1041

PEMS07,DCRNN,3,19.4324,31.2582,0.0825
PEMS07,DCRNN,6,21.0747,34.0727,0.0890
PEMS07,DCRNN,12,24.0224,38.3624,0.1034
PEMS07,DCRNN,0,21.1112,34.0833,0.0898

PEMS07,AGCRN,3,19.9824,32.0630,0.0860
PEMS07,AGCRN,6,21.4718,34.9685,0.0917
PEMS07,AGCRN,12,23.8653,38.8238,0.1026
PEMS07,AGCRN,0,21.4787,34.9528,0.0920

PEMS07,GWNET,3,19.0374,31.0512,0.0796
PEMS07,GWNET,6,20.6600,33.8090,0.0868
PEMS07,GWNET,12,23.1943,37.5717,0.0982
PEMS07,GWNET,0,20.6322,33.7359,0.0867

PEMS07,MTGNN,3,19.1210,31.1055,0.0802
PEMS07,MTGNN,6,20.6927,34.0621,0.0868
PEMS07,MTGNN,12,23.2567,38.2580,0.0981
PEMS07,MTGNN,0,20.6912,34.0943,0.0869

PEMS07,StemGNN,3,24.3186,37.2880,0.1318
PEMS07,StemGNN,6,27.4581,42.0238,0.1461
PEMS07,StemGNN,12,33.7824,50.6964,0.1798
PEMS07,StemGNN,0,27.9040,42.7619,0.1488

PEMS07,STNorm,3,19.0116,31.4435,0.0793
PEMS07,STNorm,6,20.4593,34.4943,0.0851
PEMS07,STNorm,12,22.4174,37.9430,0.0936
